                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.72471,                0.44504,                 1.0137,                0.99527,                0.99881,                0.99458,                0.80225,                0.77829,                0.34138,                 1.0676,              0.0013369,              0.0013369,              0.0013369
                     62,                0.69326,                0.44246,                 1.0177,                0.98707,                0.99447,                0.99359,                0.80543,                0.79192,                0.34176,                 1.0681,              0.0013314,              0.0013314,              0.0013314
                     63,                 0.7015,                0.42465,                 1.0113,                0.99514,                0.99789,                0.99474,                0.80163,                0.79056,                0.34525,                 1.0612,              0.0013259,              0.0013259,              0.0013259
                     64,                0.72206,                0.43764,                 1.0257,                0.99679,                0.99628,                0.99497,                0.80948,                0.80497,                0.34454,                 1.0596,              0.0013204,              0.0013204,              0.0013204
                     65,                0.72801,                0.45319,                 1.0406,                 0.9895,                0.98652,                 0.9948,                0.79673,                0.79899,                0.37976,                 1.0696,              0.0013149,              0.0013149,              0.0013149
                     66,                0.70307,                0.45523,                 1.0147,                0.99199,                0.99328,                0.99455,                0.79028,                0.84032,                0.35759,                 1.1047,              0.0013094,              0.0013094,              0.0013094
                     67,                0.69495,                0.42556,                 1.0093,                0.99239,                0.99596,                0.99476,                0.79988,                0.78197,                0.34935,                 1.0541,              0.0013039,              0.0013039,              0.0013039
                     68,                0.68185,                0.43706,                0.99683,                  0.992,                0.99878,                0.99402,                0.79429,                0.76881,                0.33707,                 1.0494,              0.0012984,              0.0012984,              0.0012984
                     69,                0.71475,                0.45161,                 1.0404,                0.99571,                0.99709,                 0.9949,                 0.7933,                0.77648,                0.34085,                 1.0569,              0.0012929,              0.0012929,              0.0012929
                     70,                0.74008,                0.43817,                 1.0293,                0.99102,                0.99058,                0.99469,                0.79287,                0.79146,                0.33338,                 1.0649,              0.0012874,              0.0012874,              0.0012874
                     71,                0.70262,                0.42698,                 1.0189,                0.99547,                0.99146,                0.99489,                0.80942,                0.77636,                0.33575,                 1.0511,              0.0012819,              0.0012819,              0.0012819
                     72,                0.73464,                0.45564,                 1.0311,                0.99831,                0.99367,                0.99499,                0.80361,                0.80176,                0.34636,                 1.0685,              0.0012764,              0.0012764,              0.0012764
                     73,                0.68673,                0.42204,                 1.0006,                0.99808,                0.99884,                0.99495,                0.80209,                0.75656,                 0.3186,                 1.0431,              0.0012709,              0.0012709,              0.0012709
                     74,                0.67383,                0.41661,                0.99011,                0.99756,                0.99909,                0.99495,                0.81582,                0.74002,                0.32285,                 1.0274,              0.0012654,              0.0012654,              0.0012654
                     75,                0.68872,                0.41706,                 1.0287,                0.99783,                0.99857,                0.99499,                0.78643,                0.82922,                0.32855,                 1.0912,              0.0012599,              0.0012599,              0.0012599
                     76,                0.69824,                0.42528,                 1.0392,                0.99757,                0.99219,                0.99499,                0.79656,                0.81634,                0.35583,                 1.0801,              0.0012544,              0.0012544,              0.0012544
                     77,                0.67864,                0.40122,                 1.0115,                0.99405,                0.99557,                0.99419,                 0.8101,                0.76443,                0.32134,                 1.0346,              0.0012489,              0.0012489,              0.0012489
                     78,                0.70346,                0.41023,                  1.017,                0.99804,                0.99888,                0.99499,                0.81474,                0.76688,                0.31765,                 1.0358,              0.0012434,              0.0012434,              0.0012434
                     79,                0.63676,                0.40532,                0.98862,                0.99848,                0.99368,                0.99497,                0.82008,                0.72774,                 0.3004,                 1.0145,              0.0012379,              0.0012379,              0.0012379
                     80,                0.67799,                0.39939,                 1.0151,                0.99306,                0.99732,                0.99494,                0.80875,                0.76351,                0.33006,                 1.0485,              0.0012324,              0.0012324,              0.0012324
                     81,                 0.6534,                 0.3969,                0.99466,                  0.994,                0.98884,                0.99459,                0.80149,                0.76048,                0.33368,                 1.0555,              0.0012269,              0.0012269,              0.0012269
                     82,                0.64168,                 0.3876,                0.98911,                0.98966,                0.99376,                0.99471,                0.82314,                0.76116,                0.32027,                 1.0489,              0.0012214,              0.0012214,              0.0012214
                     83,                0.68186,                0.41054,                 1.0217,                0.99409,                0.99595,                0.99461,                0.82873,                0.73464,                0.30685,                 1.0209,              0.0012159,              0.0012159,              0.0012159
                     84,                0.68346,                0.40267,                 1.0171,                0.99517,                0.99738,                0.99498,                0.81668,                0.76194,                0.31916,                  1.041,              0.0012104,              0.0012104,              0.0012104
                     85,                0.69076,                0.40628,                 1.0222,                0.99441,                0.99852,                0.99498,                0.81995,                 0.7285,                0.30448,                 1.0129,              0.0012049,              0.0012049,              0.0012049
                     86,                0.66077,                0.39095,                 1.0039,                0.99659,                0.99482,                0.99499,                0.82254,                0.75583,                0.31642,                 1.0318,              0.0011994,              0.0011994,              0.0011994
                     87,                0.63502,                0.37395,                0.97995,                0.99729,                0.99841,                  0.995,                0.81339,                0.75779,                0.30583,                 1.0309,              0.0011939,              0.0011939,              0.0011939
