                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.55576,                0.33117,                0.94452,                0.97333,                0.98672,                0.98876,                0.83321,                0.67817,                0.30554,                0.97432,              0.0011609,              0.0011609,              0.0011609
                     94,                0.57521,                0.32998,                0.94244,                0.98388,                0.98135,                 0.9885,                0.82759,                0.69934,                 0.3071,                0.98537,              0.0011554,              0.0011554,              0.0011554
                     95,                0.56006,                 0.3293,                0.94684,                0.98857,                0.97639,                 0.9906,                0.84041,                0.68002,                0.31157,                0.97555,              0.0011499,              0.0011499,              0.0011499
                     96,                 0.5701,                0.32302,                0.94474,                0.97176,                0.98183,                0.99167,                0.82912,                0.70882,                0.31047,                0.99083,              0.0011444,              0.0011444,              0.0011444
                     97,                0.56351,                0.33782,                0.94422,                0.98126,                0.98164,                0.98981,                0.83252,                0.68528,                0.30168,                 0.9849,              0.0011389,              0.0011389,              0.0011389
                     98,                0.58659,                0.33911,                0.95997,                0.98907,                0.98067,                0.98623,                0.82032,                0.68146,                0.30167,                0.97499,              0.0011334,              0.0011334,              0.0011334
                     99,                0.56609,                0.32088,                0.94573,                 0.9847,                0.98046,                0.98591,                0.81474,                0.71837,                0.31753,                0.99309,              0.0011279,              0.0011279,              0.0011279
                    100,                0.55552,                0.32365,                0.94269,                0.98034,                0.98272,                0.98977,                0.83085,                0.68744,                0.30463,                0.98362,              0.0011224,              0.0011224,              0.0011224
                    101,                 0.5522,                0.31344,                 0.9427,                0.98467,                0.97595,                0.98999,                0.82998,                0.69467,                0.30226,                 0.9919,              0.0011169,              0.0011169,              0.0011169
                    102,                0.56881,                0.32264,                0.94175,                 0.9767,                0.98553,                0.98853,                0.83715,                0.68457,                0.30284,                0.97902,              0.0011114,              0.0011114,              0.0011114
                    103,                0.54678,                 0.3109,                0.94748,                 0.9888,                0.98251,                0.98861,                0.83297,                0.69496,                0.31848,                 0.9883,              0.0011059,              0.0011059,              0.0011059
                    104,                0.56393,                0.33214,                0.94394,                 0.9864,                0.98083,                0.98724,                0.83594,                0.69026,                0.30471,                0.98508,              0.0011004,              0.0011004,              0.0011004
                    105,                0.57157,                0.33479,                0.95569,                 0.9823,                0.98688,                0.98791,                0.82882,                0.69243,                0.30987,                0.98811,              0.0010949,              0.0010949,              0.0010949
                    106,                0.56632,                0.33858,                0.94814,                0.97689,                0.98717,                0.98821,                0.81904,                0.68072,                0.30123,                 0.9796,              0.0010894,              0.0010894,              0.0010894
                    107,                0.54858,                0.32332,                0.94192,                0.98205,                0.98509,                0.98927,                0.81878,                0.68844,                0.31016,                0.98224,              0.0010839,              0.0010839,              0.0010839
                    108,                0.55843,                0.31185,                 0.9465,                0.98256,                0.98517,                0.98997,                0.82468,                0.69495,                 0.3064,                0.98624,              0.0010784,              0.0010784,              0.0010784
                    109,                 0.5488,                0.31281,                0.93823,                0.98846,                0.98224,                0.99129,                0.83285,                0.67936,                0.28961,                0.98038,              0.0010729,              0.0010729,              0.0010729
                    110,                0.57013,                0.32392,                 0.9492,                0.99182,                0.97908,                0.99113,                0.83638,                0.69448,                0.29092,                0.98771,              0.0010674,              0.0010674,              0.0010674
                    111,                0.52468,                0.30789,                0.93085,                0.98761,                0.98623,                 0.9904,                0.83693,                0.69356,                0.29525,                0.99016,              0.0010619,              0.0010619,              0.0010619
                    112,                0.52985,                0.30402,                 0.9393,                0.98826,                0.98657,                0.99023,                0.82913,                0.68197,                0.29342,                0.98814,              0.0010564,              0.0010564,              0.0010564
                    113,                0.53601,                0.32116,                0.93865,                0.98894,                0.98323,                0.98999,                0.82612,                0.71186,                0.30963,                 1.0011,              0.0010509,              0.0010509,              0.0010509
                    114,                0.52525,                0.30315,                0.93636,                 0.9941,                0.97686,                0.98773,                0.83438,                0.68756,                0.30942,                0.98468,              0.0010454,              0.0010454,              0.0010454
                    115,                0.53846,                0.31267,                 0.9356,                0.98995,                0.97957,                0.98813,                0.83251,                0.68728,                0.30983,                0.98238,              0.0010399,              0.0010399,              0.0010399
                    116,                0.52289,                0.32652,                0.93731,                0.97924,                0.98741,                0.98872,                 0.8322,                0.66997,                0.30117,                0.97153,              0.0010344,              0.0010344,              0.0010344
                    117,                0.53754,                0.32029,                0.94069,                0.97638,                0.98313,                0.98692,                0.82921,                0.67838,                0.30891,                0.97849,              0.0010289,              0.0010289,              0.0010289
                    118,                0.54699,                0.32564,                0.93748,                0.98499,                0.98757,                0.98823,                0.82369,                0.69701,                0.30213,                0.99149,              0.0010234,              0.0010234,              0.0010234
                    119,                0.52134,                0.31907,                0.92717,                 0.9792,                0.98582,                0.98749,                0.81983,                0.69944,                0.32367,                 0.9947,              0.0010179,              0.0010179,              0.0010179
                    120,                0.56802,                0.31798,                0.94482,                0.98062,                0.97958,                0.98405,                0.81985,                0.71742,                0.31152,                0.99955,              0.0010124,              0.0010124,              0.0010124
                    121,                0.55068,                0.32629,                 0.9356,                0.98224,                0.98127,                0.98839,                0.83295,                0.68455,                0.30255,                0.98415,              0.0010069,              0.0010069,              0.0010069
                    122,                0.55078,                0.31843,                 0.9488,                0.98985,                 0.9767,                 0.9896,                0.83692,                0.67377,                 0.2919,                 0.9752,              0.0010014,              0.0010014,              0.0010014
                    123,                0.54428,                0.31499,                0.94037,                0.98139,                0.98513,                0.98999,                0.84252,                0.67538,                 0.3039,                 0.9778,             0.00099587,             0.00099587,             0.00099587
                    124,                0.54372,                0.31421,                0.93239,                 0.9882,                0.97601,                0.98727,                0.83802,                0.68071,                 0.2993,                0.97589,             0.00099036,             0.00099036,             0.00099036
                    125,                 0.5097,                0.30566,                0.92763,                0.98631,                0.98153,                0.98674,                0.83703,                0.68301,                0.31418,                0.98504,             0.00098486,             0.00098486,             0.00098486
                    126,                0.51455,                0.30217,                0.92477,                0.98674,                0.98135,                0.98572,                0.83912,                0.67298,                0.31221,                0.97841,             0.00097936,             0.00097936,             0.00097936
                    127,                0.52434,                0.30581,                0.93207,                0.98315,                0.98193,                0.98573,                0.83054,                0.70359,                0.31902,                0.99493,             0.00097386,             0.00097386,             0.00097386
                    128,                0.51652,                 0.3064,                  0.923,                  0.988,                0.98401,                 0.9868,                0.83536,                0.67745,                0.30838,                0.98521,             0.00096836,             0.00096836,             0.00096836
                    129,                0.52706,                0.32404,                0.94402,                0.98748,                0.98225,                0.98533,                0.82526,                0.69243,                0.30938,                0.99317,             0.00096286,             0.00096286,             0.00096286
                    130,                0.52812,                0.30222,                0.93674,                0.99186,                0.97838,                0.98582,                0.83216,                0.67806,                0.30053,                 0.9829,             0.00095736,             0.00095736,             0.00095736
                    131,                0.50773,                0.29986,                0.92462,                0.99416,                0.98216,                 0.9893,                 0.8407,                0.67715,                0.29492,                0.97836,             0.00095186,             0.00095186,             0.00095186
                    132,                 0.5181,                0.30135,                0.92264,                0.99267,                0.98149,                0.98919,                0.82755,                0.69326,                0.30061,                0.99855,             0.00094636,             0.00094636,             0.00094636
                    133,                0.52306,                0.30053,                 0.9273,                0.98543,                0.97245,                0.98418,                0.82993,                0.67682,                0.32174,                0.99236,             0.00094085,             0.00094085,             0.00094085
                    134,                0.51008,                0.29974,                0.92466,                0.97475,                0.97878,                0.98265,                0.82946,                0.66033,                0.30963,                 0.9764,             0.00093535,             0.00093535,             0.00093535
                    135,                0.50175,                0.30146,                0.92537,                0.98449,                  0.978,                0.98351,                0.83263,                0.66688,                0.30373,                0.98113,             0.00092985,             0.00092985,             0.00092985
                    136,                0.51577,                0.30051,                0.93799,                0.98377,                0.98108,                0.98641,                 0.8409,                0.67104,                0.30042,                0.98005,             0.00092435,             0.00092435,             0.00092435
                    137,                 0.5108,                0.29883,                0.91999,                0.98328,                0.98401,                0.98829,                 0.8371,                0.66449,                0.29475,                0.97942,             0.00091885,             0.00091885,             0.00091885
                    138,                0.50981,                0.28583,                0.93149,                 0.9749,                0.98579,                0.98456,                0.82833,                0.66935,                0.30046,                0.97554,             0.00091335,             0.00091335,             0.00091335
                    139,                0.50466,                0.28779,                0.92314,                 0.9801,                0.98282,                0.98314,                0.82942,                0.67422,                0.30714,                0.98184,             0.00090785,             0.00090785,             0.00090785
                    140,                0.51024,                0.30328,                0.92814,                 0.9872,                0.98274,                 0.9887,                0.83964,                0.66969,                0.29202,                 0.9791,             0.00090235,             0.00090235,             0.00090235
                    141,                0.51183,                0.30086,                0.92395,                0.98873,                0.98235,                0.98764,                 0.8435,                0.67371,                0.30023,                0.97944,             0.00089685,             0.00089685,             0.00089685
                    142,                0.48968,                0.28423,                0.92944,                 0.9789,                0.98641,                0.98647,                0.83892,                0.66943,                0.30031,                0.97704,             0.00089134,             0.00089134,             0.00089134
                    143,                0.48784,                0.29833,                0.91868,                0.98236,                0.98454,                 0.9876,                0.84843,                0.66119,                0.28497,                0.97916,             0.00088584,             0.00088584,             0.00088584
                    144,                 0.4987,                0.28788,                0.91954,                0.98574,                0.97827,                0.98742,                0.84859,                0.65873,                0.28825,                 0.9816,             0.00088034,             0.00088034,             0.00088034
                    145,                0.47379,                0.28085,                0.91581,                0.98824,                0.97305,                0.98576,                0.83332,                0.66662,                0.28916,                0.98529,             0.00087484,             0.00087484,             0.00087484
